path,loc,cc
src\transformers\generation\tf_utils.py,1811,340
src\transformers\models\tapas\modeling_tapas.py,1293,339
src\transformers\models\electra\modeling_electra.py,1153,339
src\transformers\models\big_bird\modeling_flax_big_bird.py,1912,337
src\transformers\models\sam2_video\modular_sam2_video.py,1469,336
src\transformers\models\mbart\modeling_mbart.py,1232,336
src\transformers\models\longformer\modeling_tf_longformer.py,1883,335
src\transformers\models\tapas\modeling_tf_tapas.py,1483,335
tests\utils\test_modeling_utils.py,2252,334
src\transformers\models\xlm_roberta_xl\modeling_xlm_roberta_xl.py,1137,334
src\transformers\models\unispeech_sat\modeling_unispeech_sat.py,1224,332
src\transformers\models\wav2vec2\modeling_tf_wav2vec2.py,1366,331
src\transformers\models\mask2former\modeling_mask2former.py,1412,330
src\transformers\models\megatron_bert\modeling_megatron_bert.py,1177,330
src\transformers\models\data2vec\modeling_tf_data2vec_vision.py,1241,329
src\transformers\models\wavlm\modeling_wavlm.py,1167,329
src\transformers\models\roformer\modeling_roformer.py,1099,329
src\transformers\models\wav2vec2_conformer\modeling_wav2vec2_conformer.py,1251,328
src\transformers\models\rt_detr_v2\modeling_rt_detr_v2.py,1272,327
src\transformers\models\lxmert\modeling_tf_lxmert.py,1249,327
src\transformers\models\ernie\modeling_ernie.py,1182,327
src\transformers\models\roberta\modeling_roberta.py,1113,327
src\transformers\models\xlm_roberta\modeling_xlm_roberta.py,1103,327
src\transformers\models\camembert\modeling_camembert.py,1102,327
src\transformers\models\rt_detr\modeling_rt_detr.py,1287,326
src\transformers\trainer_pt_utils.py,770,325
src\transformers\models\patchtst\modeling_patchtst.py,1018,324
src\transformers\models\clap\modeling_clap.py,1280,322
src\transformers\models\clvp\modeling_clvp.py,1223,320
src\transformers\utils\fx.py,1123,318
src\transformers\models\conditional_detr\modeling_conditional_detr.py,1176,317
src\transformers\models\plbart\modeling_plbart.py,1115,317
src\transformers\models\funnel\modeling_funnel.py,1071,317
src\transformers\models\marian\modeling_marian.py,1096,316
src\transformers\models\xmod\modeling_xmod.py,1094,316
src\transformers\models\luke\modeling_luke.py,1333,315
src\transformers\models\deprecated\qdqbert\modeling_qdqbert.py,1251,315
src\transformers\models\switch_transformers\modeling_switch_transformers.py,1162,314
src\transformers\models\nllb_moe\modeling_nllb_moe.py,1097,313
src\transformers\models\mobilebert\modeling_mobilebert.py,1064,313
utils\create_dummy_models.py,1126,312
src\transformers\models\prophetnet\modeling_prophetnet.py,1311,311
src\transformers\models\deberta\modeling_tf_deberta.py,1261,311
src\transformers\models\esm\modeling_esmfold.py,1398,309
src\transformers\models\mvp\modeling_mvp.py,1110,309
src\transformers\models\electra\modeling_tf_electra.py,1342,308
src\transformers\models\autoformer\modeling_autoformer.py,1131,307
src\transformers\models\deprecated\nezha\modeling_nezha.py,1214,305
src\transformers\cache_utils.py,830,305
src\transformers\models\kosmos2\modeling_kosmos2.py,1245,304
src\transformers\models\mimi\modeling_mimi.py,1052,303
src\transformers\models\flaubert\modeling_flaubert.py,1021,303
src\transformers\models\deberta_v2\modeling_deberta_v2.py,1017,303
src\transformers\models\deprecated\xlm_prophetnet\modeling_xlm_prophetnet.py,1409,302
src\transformers\models\sam\modeling_tf_sam.py,1274,301
src\transformers\models\led\modeling_tf_led.py,1795,299
src\transformers\models\time_series_transformer\modeling_time_series_transformer.py,1045,299
src\transformers\models\roberta_prelayernorm\modeling_tf_roberta_prelayernorm.py,1354,298
src\transformers\models\xlm\modeling_xlm.py,1003,298
src\transformers\models\deformable_detr\modeling_deformable_detr.py,1236,297
src\transformers\models\camembert\modeling_tf_camembert.py,1339,296
src\transformers\models\xlm_roberta\modeling_tf_xlm_roberta.py,1336,296
src\transformers\models\roberta\modeling_tf_roberta.py,1332,296
src\transformers\models\zamba2\modeling_zamba2.py,1219,296
src\transformers\models\rembert\modeling_tf_rembert.py,1312,295
src\transformers\models\deprecated\realm\modeling_realm.py,1203,295
src\transformers\models\gpt2\modeling_gpt2.py,1157,295
src\transformers\models\beit\modeling_beit.py,1056,295
src\transformers\models\hubert\modeling_tf_hubert.py,1227,294
src\transformers\models\swin\modeling_tf_swin.py,1139,293
src\transformers\models\pix2struct\modeling_pix2struct.py,1058,293
src\transformers\models\esm\modeling_tf_esm.py,1163,292
src\transformers\models\data2vec\modeling_data2vec_text.py,995,290
src\transformers\models\whisper\modeling_tf_whisper.py,1186,289
tests\models\whisper\test_modeling_whisper.py,2737,285
src\transformers\models\rembert\modeling_rembert.py,1016,285
src\transformers\models\detr\modeling_detr.py,983,285
src\transformers\models\blenderbot\modeling_blenderbot.py,1025,284
src\transformers\models\roberta_prelayernorm\modeling_roberta_prelayernorm.py,1009,284
src\transformers\models\idefics\modeling_tf_idefics.py,1281,282
src\transformers\models\bart\modeling_tf_bart.py,1249,282
src\transformers\models\modernbert\modeling_modernbert.py,1109,282
src\transformers\models\longformer\modeling_longformer.py,1294,281
src\transformers\processing_utils.py,998,280
src\transformers\models\phi4_multimodal\modeling_phi4_multimodal.py,1327,279
src\transformers\models\omdet_turbo\modeling_omdet_turbo.py,1170,279
src\transformers\models\unispeech\modeling_unispeech.py,1024,279
src\transformers\models\blenderbot_small\modeling_blenderbot_small.py,996,279
src\transformers\models\florence2\modular_florence2.py,1175,278
src\transformers\models\blip_2\modeling_blip_2.py,1401,277
src\transformers\models\modernbert\modular_modernbert.py,1164,277
src\transformers\models\roformer\modeling_tf_roformer.py,1187,276
src\transformers\models\mobilevit\modeling_tf_mobilevit.py,1038,276
src\transformers\models\convbert\modeling_convbert.py,1009,276
src\transformers\models\evolla\modeling_evolla.py,1130,275
src\transformers\models\canine\modeling_canine.py,1039,274
src\transformers\models\mra\modeling_mra.py,998,274
tests\models\layoutlmv2\test_tokenization_layoutlmv2.py,1873,273
src\transformers\models\layoutlmv3\modeling_tf_layoutlmv3.py,1315,273
src\transformers\models\janus\modular_janus.py,1135,273
src\transformers\models\maskformer\modeling_maskformer.py,945,273
src\transformers\models\gemma3n\modular_gemma3n.py,1520,272
src\transformers\models\granitemoehybrid\modeling_granitemoehybrid.py,1168,272
src\transformers\models\pegasus\modeling_pegasus.py,1032,272
src\transformers\models\longt5\modeling_flax_longt5.py,1763,271
src\transformers\models\gemma3n\modeling_gemma3n.py,1507,271
src\transformers\models\wav2vec2_bert\modeling_wav2vec2_bert.py,1024,271
src\transformers\models\fastspeech2_conformer\modeling_fastspeech2_conformer.py,941,270
src\transformers\models\data2vec\modeling_data2vec_audio.py,939,270
src\transformers\models\hubert\modeling_hubert.py,867,270
src\transformers\models\emu3\modeling_emu3.py,1182,269
src\transformers\models\whisper\modeling_whisper.py,999,269
src\transformers\models\m2m_100\modeling_m2m_100.py,927,269
src\transformers\models\lxmert\modeling_lxmert.py,938,267
src\transformers\models\deberta\modeling_deberta.py,876,267
src\transformers\models\pegasus_x\modeling_pegasus_x.py,1097,265
tests\models\layoutlmv3\test_tokenization_layoutlmv3.py,1809,264
src\transformers\models\kosmos2_5\modeling_kosmos2_5.py,1240,264
src\transformers\models\convbert\modeling_tf_convbert.py,1161,264
src\transformers\models\falcon\modeling_falcon.py,940,264
src\transformers\models\layoutlm\modeling_tf_layoutlm.py,1154,261
src\transformers\models\dab_detr\modeling_dab_detr.py,968,261
src\transformers\models\data2vec\modeling_data2vec_vision.py,922,261
src\transformers\models\deprecated\transfo_xl\modeling_transfo_xl.py,902,261
src\transformers\models\whisper\modeling_flax_whisper.py,1337,260
src\transformers\models\xlnet\modeling_tf_xlnet.py,1259,260
src\transformers\models\luke\tokenization_luke.py,1193,260
src\transformers\models\albert\modeling_albert.py,955,259
src\transformers\models\bart\modeling_flax_bart.py,1534,258
src\transformers\models\t5\modeling_tf_t5.py,1241,258
utils\check_docstrings.py,1109,258
src\transformers\models\deprecated\efficientformer\modeling_tf_efficientformer.py,939,258
src\transformers\models\detr\image_processing_detr.py,1168,257
src\transformers\models\yoso\modeling_yoso.py,909,257
examples\modular-transformers\modeling_test_detr.py,1064,255
src\transformers\models\vits\modeling_vits.py,997,255
src\transformers\models\dpt\modeling_dpt.py,754,255
src\transformers\models\jamba\modeling_jamba.py,967,254
src\transformers\models\pop2piano\modeling_pop2piano.py,923,254
examples\modular-transformers\modeling_roberta.py,752,253
examples\modular-transformers\modeling_dummy_bert.py,749,253
src\transformers\models\speech_to_text\modeling_tf_speech_to_text.py,1126,252
src\transformers\models\groupvit\modeling_groupvit.py,898,252
utils\tests_fetcher.py,623,252
src\transformers\utils\dummy_pt_objects.py,348,252
src\transformers\models\falcon_h1\modeling_falcon_h1.py,1086,251
src\transformers\models\vilt\modeling_vilt.py,857,249
tests\models\markuplm\test_tokenization_markuplm.py,1743,248
src\transformers\models\qwen3_vl_moe\modeling_qwen3_vl_moe.py,1292,248
tests\models\speecht5\test_modeling_speecht5.py,1458,246
src\transformers\models\zamba\modeling_zamba.py,931,246
src\transformers\models\kyutai_speech_to_text\modeling_kyutai_speech_to_text.py,921,246
src\transformers\image_utils.py,526,246
src\transformers\models\git\modeling_git.py,945,245
src\transformers\models\phi4_multimodal\modular_phi4_multimodal.py,1178,242
src\transformers\models\llama4\modeling_llama4.py,973,242
src\transformers\models\mbart\modeling_tf_mbart.py,1113,240
benchmark_v2\benchmark_framework.py,804,240
src\transformers\models\albert\modeling_tf_albert.py,1173,239
src\transformers\models\pegasus\modeling_tf_pegasus.py,1108,239
src\transformers\models\table_transformer\modeling_table_transformer.py,763,238
src\transformers\models\bert_japanese\tokenization_bert_japanese.py,585,238
src\transformers\models\electra\modeling_flax_electra.py,1225,237
src\transformers\models\marian\modeling_tf_marian.py,1096,237
src\transformers\models\conditional_detr\image_processing_conditional_detr.py,1049,237
src\transformers\models\altclip\modeling_altclip.py,908,237
src\transformers\models\bert\modeling_flax_bert.py,1338,236
src\transformers\models\glm4v_moe\modeling_glm4v_moe.py,1213,236
tests\models\layoutxlm\test_tokenization_layoutxlm.py,1422,235
src\transformers\models\bark\modeling_bark.py,999,235
src\transformers\models\hiera\modeling_hiera.py,905,235
src\transformers\models\qwen2_5_vl\modeling_qwen2_5_vl.py,1203,234
src\transformers\models\blenderbot\modeling_tf_blenderbot.py,1108,234
src\transformers\models\instructblipvideo\modeling_instructblipvideo.py,1086,234
src\transformers\configuration_utils.py,731,234
src\transformers\models\swinv2\modeling_swinv2.py,900,233
src\transformers\models\blip\modeling_tf_blip_text.py,826,233
src\transformers\models\fnet\modeling_fnet.py,720,233
src\transformers\models\mbart\modeling_flax_mbart.py,1353,232
src\transformers\tokenization_mistral_common.py,1170,232
src\transformers\models\mluke\tokenization_mluke.py,1113,232
utils\check_repo.py,1051,232
src\transformers\models\blenderbot_small\modeling_tf_blenderbot_small.py,1082,230
src\transformers\models\t5gemma\modeling_t5gemma.py,1051,230
src\transformers\models\whisper\tokenization_whisper.py,920,229
src\transformers\models\deprecated\gptsan_japanese\modeling_gptsan_japanese.py,784,229
src\transformers\models\mpnet\modeling_tf_mpnet.py,1039,228
src\transformers\models\speech_to_text\modeling_speech_to_text.py,839,228
src\transformers\models\qwen2_vl\modeling_qwen2_vl.py,1120,227
src\transformers\modelcard.py,674,227
tests\models\udop\test_tokenization_udop.py,1399,225
src\transformers\models\blip\modeling_tf_blip.py,1068,225
src\transformers\models\instructblip\modeling_instructblip.py,1026,225
src\transformers\models\layoutlmv2\tokenization_layoutlmv2.py,1136,224
src\transformers\models\falcon_h1\modular_falcon_h1.py,951,224
src\transformers\models\visual_bert\modeling_visual_bert.py,919,223
src\transformers\models\xlstm\modeling_xlstm.py,1191,222
src\transformers\models\qwen3_vl\modular_qwen3_vl.py,992,222
src\transformers\models\deit\modeling_tf_deit.py,875,221
src\transformers\models\swin\modeling_swin.py,843,221
src\transformers\models\janus\modeling_janus.py,1050,220
src\transformers\models\deformable_detr\image_processing_deformable_detr.py,947,220
src\transformers\models\grounding_dino\image_processing_grounding_dino.py,931,220
src\transformers\models\mllama\modeling_mllama.py,1130,219
src\transformers\models\glm4v\modular_glm4v.py,1036,219
src\transformers\models\t5\modeling_flax_t5.py,1343,218
src\transformers\integrations\tensor_parallel.py,628,218
tests\models\blip\test_modeling_blip.py,1037,217
src\transformers\models\clipseg\modeling_clipseg.py,857,217
src\transformers\models\bloom\modeling_bloom.py,809,217
src\transformers\models\segformer\modeling_tf_segformer.py,771,217
src\transformers\models\bamba\modeling_bamba.py,982,216
src\transformers\models\owlv2\modeling_owlv2.py,981,216
src\transformers\models\owlvit\modeling_owlvit.py,970,216
src\transformers\models\d_fine\modular_d_fine.py,779,216
src\transformers\models\fsmt\modeling_fsmt.py,748,216
src\transformers\models\sew\modeling_sew.py,746,216
src\transformers\models\qwen3_vl\modeling_qwen3_vl.py,1156,215
src\transformers\models\layoutlmv2\modeling_layoutlmv2.py,908,215
src\transformers\models\swin2sr\modeling_swin2sr.py,755,215
src\transformers\models\wav2vec2\modeling_flax_wav2vec2.py,990,214
src\transformers\models\phimoe\modeling_phimoe.py,890,214
src\transformers\models\align\modeling_align.py,850,213
src\transformers\utils\generic.py,655,213
tests\models\blip_2\test_modeling_blip_2.py,1441,212
src\transformers\models\t5gemma\modular_t5gemma.py,937,212
src\transformers\models\yolos\image_processing_yolos.py,895,212
src\transformers\models\dbrx\modeling_dbrx.py,863,212
src\transformers\models\x_clip\modeling_x_clip.py,832,212
src\transformers\models\emu3\modular_emu3.py,869,211
src\transformers\models\deprecated\ernie_m\modeling_ernie_m.py,816,211
src\transformers\models\nystromformer\modeling_nystromformer.py,740,211
src\transformers\models\roberta_prelayernorm\modeling_flax_roberta_prelayernorm.py,1181,210
src\transformers\models\roberta\modeling_flax_roberta.py,1165,210
src\transformers\models\xlm_roberta\modeling_flax_xlm_roberta.py,1165,210
src\transformers\models\layoutlmv3\modeling_layoutlmv3.py,841,210
src\transformers\models\zoedepth\modeling_zoedepth.py,777,210
src\transformers\models\sam2\modeling_sam2.py,1034,209
src\transformers\models\xlm\modeling_tf_xlm.py,1010,209
src\transformers\models\chinese_clip\modeling_chinese_clip.py,813,209
src\transformers\models\wav2vec2_bert\modular_wav2vec2_bert.py,745,209
tests\trainer\test_data_collator.py,1589,208
src\transformers\models\pegasus\modeling_flax_pegasus.py,1155,208
src\transformers\models\glm4v\modeling_glm4v.py,1117,208
src\transformers\models\ibert\modeling_ibert.py,928,208
src\transformers\models\distilbert\modeling_distilbert.py,784,208
src\transformers\tokenization_utils.py,640,208
src\transformers\models\gptj\modeling_gptj.py,910,206
utils\notification_service.py,1215,205
src\transformers\models\blenderbot\modeling_flax_blenderbot.py,1140,205
src\transformers\models\qwen2_moe\modeling_qwen2_moe.py,764,205
src\transformers\models\flaubert\modeling_tf_flaubert.py,1017,204
src\transformers\models\idefics\modeling_idefics.py,889,203
src\transformers\models\sam_hq\modeling_sam_hq.py,924,202
src\transformers\models\gpt_neo\modeling_gpt_neo.py,841,202
src\transformers\models\bert_generation\modeling_bert_generation.py,661,202
src\transformers\utils\auto_docstring.py,1430,201
src\transformers\models\squeezebert\modeling_squeezebert.py,648,200
src\transformers\models\deprecated\tvlt\modeling_tvlt.py,829,199
src\transformers\models\vit_mae\modeling_tf_vit_mae.py,888,196
src\transformers\models\cvt\modeling_tf_cvt.py,797,196
src\transformers\models\olmoe\modeling_olmoe.py,716,196
src\transformers\models\marian\modeling_flax_marian.py,1126,195
src\transformers\models\biogpt\modeling_biogpt.py,713,195
src\transformers\models\blip\modeling_blip_text.py,680,195
src\transformers\models\sam2\modular_sam2.py,961,194
src\transformers\models\zamba2\modular_zamba2.py,838,194
src\transformers\models\mpnet\modeling_mpnet.py,708,194
src\transformers\models\blenderbot_small\modeling_flax_blenderbot_small.py,1154,193
src\transformers\models\distilbert\modeling_tf_distilbert.py,878,193
src\transformers\models\imagegpt\modeling_imagegpt.py,677,193
src\transformers\models\bros\modeling_bros.py,782,192
src\transformers\generation\candidate_generator.py,700,192
src\transformers\models\swiftformer\modeling_tf_swiftformer.py,622,192
src\transformers\trainer_utils.py,530,192
src\transformers\models\clip\modeling_tf_clip.py,995,190
src\transformers\models\lilt\modeling_lilt.py,731,190
src\transformers\models\donut\modeling_donut_swin.py,679,190
src\transformers\models\decision_transformer\modeling_decision_transformer.py,632,190
src\transformers\models\rwkv\modeling_rwkv.py,565,190
tests\models\wav2vec2\test_modeling_wav2vec2.py,1439,189
tests\models\flava\test_modeling_flava.py,1086,189
src\transformers\models\gemma3\modeling_gemma3.py,906,189
src\transformers\utils\hub.py,728,189
src\transformers\models\opt\modeling_opt.py,722,189
src\transformers\models\qwen3_next\modeling_qwen3_next.py,879,188
src\transformers\models\jetmoe\modeling_jetmoe.py,738,188
src\transformers\models\maskformer\modeling_maskformer_swin.py,618,188
src\transformers\models\esm\modeling_esm.py,730,187
src\transformers\models\deprecated\open_llama\modeling_open_llama.py,670,187
src\transformers\models\sam\modeling_sam.py,861,186
src\transformers\models\mobilevit\modeling_mobilevit.py,716,186
src\transformers\generation\continuous_batching\continuous_api.py,697,186
src\transformers\models\markuplm\tokenization_markuplm.py,1083,184
src\transformers\models\chameleon\modeling_chameleon.py,797,184
src\transformers\models\markuplm\modeling_markuplm.py,701,183
src\transformers\models\aria\modular_aria.py,797,182
src\transformers\tokenization_utils_fast.py,616,182
src\transformers\models\deprecated\graphormer\modeling_graphormer.py,596,182
src\transformers\models\roc_bert\tokenization_roc_bert.py,772,181
src\transformers\models\tvp\modeling_tvp.py,627,181
src\transformers\generation\configuration_utils.py,695,179
src\transformers\models\gpt_bigcode\modeling_gpt_bigcode.py,690,179
src\transformers\models\gpt2\modeling_tf_gpt2.py,906,178
src\transformers\models\vjepa2\modeling_vjepa2.py,833,178
src\transformers\models\deprecated\efficientformer\modeling_efficientformer.py,558,178
src\transformers\models\layoutlmv3\tokenization_layoutlmv3.py,1055,177
src\transformers\models\evolla\modular_evolla.py,724,177
src\transformers\models\layoutlm\modeling_layoutlm.py,712,177
src\transformers\models\deprecated\transfo_xl\tokenization_transfo_xl.py,538,177
src\transformers\models\bit\modeling_bit.py,555,176
src\transformers\models\clip\modeling_flax_clip.py,949,175
src\transformers\models\deprecated\deta\image_processing_deta.py,724,175
src\transformers\models\openai\modeling_openai.py,581,175
src\transformers\models\rag\modeling_rag.py,884,174
src\transformers\models\oneformer\image_processing_oneformer.py,798,174
src\transformers\models\clip\modeling_clip.py,778,174
src\transformers\models\deepseek_vl_hybrid\modular_deepseek_vl_hybrid.py,666,174
src\transformers\models\focalnet\modeling_focalnet.py,604,174
src\transformers\trainer_callback.py,389,174
tests\test_processing_common.py,1113,172
src\transformers\models\bamba\modular_bamba.py,790,172
tests\models\tapas\test_tokenization_tapas.py,931,171
src\transformers\models\gemma3\modular_gemma3.py,759,170
tests\models\musicgen\test_modeling_musicgen.py,1039,169
src\transformers\models\depth_pro\modeling_depth_pro.py,753,169
src\transformers\models\trocr\modeling_trocr.py,534,169
src\transformers\models\metaclip_2\modeling_metaclip_2.py,774,168
src\transformers\models\eomt\modeling_eomt.py,694,168
src\transformers\models\granitemoeshared\modeling_granitemoeshared.py,645,168
src\transformers\models\deprecated\nat\modeling_nat.py,574,168
src\transformers\models\udop\tokenization_udop.py,1005,167
src\transformers\modeling_flax_utils.py,736,167
src\transformers\models\dinat\modeling_dinat.py,558,167
tests\models\musicgen_melody\test_modeling_musicgen_melody.py,1044,166
src\transformers\models\rag\modeling_tf_rag.py,1028,166
src\transformers\models\nemotron\modeling_nemotron.py,627,166
src\transformers\models\encodec\modeling_encodec.py,467,166
src\transformers\models\vit\modeling_tf_vit.py,661,165
src\transformers\models\opt\modeling_tf_opt.py,743,164
src\transformers\models\mobilevitv2\modeling_mobilevitv2.py,660,164
src\transformers\models\deprecated\tapex\tokenization_tapex.py,1073,163
src\transformers\models\gptj\modeling_tf_gptj.py,856,163
src\transformers\models\detr\image_processing_detr_fast.py,780,163
src\transformers\models\blt\modeling_blt.py,931,161
src\transformers\models\stablelm\modeling_stablelm.py,653,161
src\transformers\models\falcon_mamba\modeling_falcon_mamba.py,647,161
src\transformers\models\seggpt\modeling_seggpt.py,579,161
src\transformers\generation\beam_search.py,641,160
src\transformers\models\granitemoe\modeling_granitemoe.py,614,160
src\transformers\models\mamba\modeling_mamba.py,613,160
src\transformers\models\informer\modular_informer.py,498,159
src\transformers\models\whisper\english_normalizer.py,476,159
examples\legacy\seq2seq\utils.py,476,158
src\transformers\models\siglip2\modeling_siglip2.py,715,157
src\transformers\models\esm\openfold_utils\rigid_utils.py,576,157
src\transformers\generation\tf_logits_process.py,339,157
src\transformers\models\albert\modeling_flax_albert.py,882,156
src\transformers\pipelines\__init__.py,875,156
src\transformers\models\beit\modeling_flax_beit.py,715,156
src\transformers\models\biogpt\modular_biogpt.py,589,156
src\transformers\models\segformer\modeling_segformer.py,502,156
src\transformers\models\roformer\modeling_flax_roformer.py,844,155
src\transformers\models\mistral\modeling_tf_mistral.py,746,155
tests\test_tokenization_mistral_common.py,1415,154
src\transformers\models\deprecated\transfo_xl\modeling_tf_transfo_xl.py,808,154
src\transformers\models\mamba2\modeling_mamba2.py,689,154
src\transformers\models\idefics3\image_processing_idefics3.py,516,154
src\transformers\models\deprecated\speech_to_text_2\modeling_speech_to_text_2.py,507,154
src\transformers\models\xglm\modeling_xglm.py,493,154
src\transformers\models\splinter\modeling_splinter.py,586,153
src\transformers\models\deprecated\mctct\modeling_mctct.py,537,153
src\transformers\modeling_gguf_pytorch_utils.py,352,153
src\transformers\models\edgetam\modeling_edgetam.py,795,152
src\transformers\models\idefics2\modeling_idefics2.py,791,152
src\transformers\models\csm\modeling_csm.py,738,152
tests\test_pipeline_mixin.py,714,152
src\transformers\models\smolvlm\image_processing_smolvlm.py,514,152
src\transformers\models\dia\modeling_dia.py,683,151
src\transformers\models\rt_detr\image_processing_rt_detr.py,635,151
src\transformers\models\mpt\modeling_mpt.py,560,151
src\transformers\models\regnet\modeling_tf_regnet.py,463,151
src\transformers\models\maskformer\image_processing_maskformer.py,752,150
src\transformers\models\qwen2_5_vl\modular_qwen2_5_vl.py,707,150
src\transformers\generation\flax_utils.py,673,150
src\transformers\pipelines\automatic_speech_recognition.py,418,149
src\transformers\models\mask2former\image_processing_mask2former.py,730,148
src\transformers\models\cvt\modeling_cvt.py,490,148
src\transformers\models\florence2\processing_florence2.py,469,148
src\transformers\models\vitdet\modeling_vitdet.py,457,148
tests\models\t5\test_modeling_t5.py,1497,147
src\transformers\commands\serving.py,1172,146
src\transformers\models\sam\image_processing_sam.py,829,146
src\transformers\image_transforms.py,487,146
src\transformers\models\moonshine\modeling_moonshine.py,732,145
src\transformers\models\florence2\modeling_florence2.py,775,144
src\transformers\models\siglip\modeling_siglip.py,667,144
src\transformers\models\cpmant\modeling_cpmant.py,542,144
src\transformers\data\metrics\squad_metrics.py,533,144
src\transformers\models\glpn\modeling_glpn.py,463,144
src\transformers\pipelines\question_answering.py,453,144
tests\models\t5gemma\test_modeling_t5gemma.py,1235,143
src\transformers\models\aria\modeling_aria.py,759,143
src\transformers\models\ctrl\modeling_tf_ctrl.py,706,143
src\transformers\models\conditional_detr\image_processing_conditional_detr_fast.py,653,143
tests\test_image_processing_common.py,542,143
src\transformers\audio_utils.py,505,143
src\transformers\integrations\executorch.py,654,142
src\transformers\pipelines\token_classification.py,488,142
src\transformers\video_utils.py,487,142
utils\check_copies.py,596,141
src\transformers\masking_utils.py,583,141
examples\pytorch\3d_parallel_checks.py,502,141
src\transformers\models\xglm\modeling_tf_xglm.py,754,140
src\transformers\models\deprecated\vit_hybrid\modeling_vit_hybrid.py,501,140
src\transformers\models\resnet\modeling_tf_resnet.py,450,140
src\transformers\models\lightglue\modular_lightglue.py,729,139
src\transformers\models\openai\modeling_tf_openai.py,692,139
src\transformers\models\yolos\image_processing_yolos_fast.py,575,139
src\transformers\data\processors\glue.py,422,139
src\transformers\models\layoutxlm\tokenization_layoutxlm.py,800,138
src\transformers\models\wav2vec2_conformer\modular_wav2vec2_conformer.py,481,138
src\transformers\models\blt\modular_blt.py,771,137
src\transformers\models\qwen3_next\modular_qwen3_next.py,658,137
src\transformers\integrations\ggml.py,639,137
src\transformers\models\distilbert\modeling_flax_distilbert.py,707,134
